CH1    CH2    CH3    CH4    CH5    CH6    CH7    CH8
33976    32702    28377    0    0    31145    33030    37584
33968    32696    28370    0    0    31150    33035    37594
33980    32684    28370    0    0    31140    33039    37584
33962    32717    28379    0    0    31146    33038    37618
33989    32692    28392    0    0    31144    33031    37601
33987    32690    28387    0    0    31141    33031    37596
33986    32698    28384    0    0    31141    33044    37580
33984    32698    28372    0    0    31140    33039    37582
33970    32699    28393    0    0    31136    33030    37596
33982    32700    28380    0    0    31150    33031    37612
33974    32698    28376    0    0    31156    33028    37600
33984    32688    28376    0    0    31140    33044    37604
33970    32710    28407    0    0    31164    33040    37609
33982    32704    28388    0    0    31142    33028    37563
33984    32699    28365    0    0    31143    33031    37586
33986    32697    28377    0    0    31146    33030    37590
33964    32717    28364    0    0    31149    33031    37597
33986    32696    28358    0    0    31152    33030    37584
33961    32708    28359    0    0    31153    33028    37593
33978    32682    28378    0    0    31151    33022    37592
33972    32697    28368    0    0    31148    33031    37578
33976    32706    28359    0    0    31142    33028    37590
33980    32700    28384    0    0    31142    33030    37574
33966    32707    28396    0    0    31142    33019    37592
33970    32700    28412    0    0    31149    33024    37576
33972    32702    28376    0    0    31148    33028    37590
33976    32698    28384    0    0    31144    33042    37611
33970    32701    28374    0    0    31144    33019    37565
33968    32711    28392    0    0    31136    33040    37609
33965    32690    28368    0    0    31142    33036    37590
33976    32700    28384    0    0    31136    33031    37584
33977    32701    28389    0    0    31144    33039    37582
33968    32711    28372    0    0    31150    33028    37586
33984    32708    28382    0    0    31154    33036    37605
33982    32705    28367    0    0    31140    33044    37580
33960    32720    28360    0    0    31151    33031    37594
33978    32690    28376    0    0    31151    33037    37599
33964    32690    28387    0    0    31141    33042    37586
33976    32711    28382    0    0    31140    33042    37590
33988    32692    28384    0    0    31140    33034    37592
33976    32699    28372    0    0    31151    33046    37591
33968    32703    28388    0    0    31138    33036    37598
33968    32708    28386    0    0    31156    33043    37579
33972    32685    28384    0    0    31140    33036    37552
33967    32704    28365    0    0    31144    33031    37598
33961    32711    28356    0    0    31147    33035    37606
33970    32710    28377    0    0    31136    33042    37584
33989    32694    28388    0    0    31148    33032    37584
33968    32705    28384    0    0    31144    33046    37610
33960    32685    28390    0    0    31151    33031    37586
33972    32688    28382    0    0    31150    33029    37580
33972    32678    28384    0    0    31154    33026    37579
33968    32694    28372    0    0    31160    33024    37601
33970    32700    28380    0    0    31150    33036    37576
33972    32708    28373    0    0    31162    33024    37586
